LOUISIANA STATE LEGISLATIVE DISTRICTS UPPER BY CENSUS TRACT,,,
State,Tract,Parish,StateLegislativeDistrictsUpper
22,25103,51,8
22,25104,51,8
22,25200,17,39
22,25201,51,7
22,25201,51,8
22,25202,51,7
22,25202,51,8
22,25300,17,37
22,25300,17,39
22,25300,51,7
22,25400,51,7
22,25405,17,39
22,25406,17,39
22,25500,51,7
22,25600,51,7
22,25700,51,7
22,25800,51,3
22,25800,51,7
22,25900,51,3
22,25900,51,7
22,26000,51,3
22,26100,51,3
22,26100,51,7
22,26200,51,3
22,26200,51,8
22,26300,51,3
22,26300,51,8
22,26400,51,8
22,26500,51,8
22,26600,51,3
22,26600,51,8
22,26700,51,3
22,26800,51,3
22,26900,51,3
22,27000,51,3
22,27100,51,3
22,27100,51,8
22,27200,51,3
22,27200,51,8
22,27501,51,8
22,27502,51,8
22,27601,51,8
22,27602,51,8
22,27701,51,3
22,27703,51,3
22,27703,51,8
22,27803,51,7
22,27804,51,8
22,27805,51,8
22,27806,51,3
22,27806,51,8
22,27807,51,8
22,27809,51,7
22,27809,51,8
22,27810,51,7
22,27811,51,7
22,27812,51,7
22,27901,51,8
22,27902,51,8
22,28000,51,8
22,28100,51,19
22,28200,51,8
22,30100,9,28
22,30100,9,32
22,30100,45,21
22,30100,45,22
22,30101,5,18
22,30102,5,18
22,30103,5,18
22,30103,87,1
22,30103,87,3
22,30104,87,1
22,30105,87,1
22,30200,9,32
22,30200,45,22
22,30203,5,18
22,30203,87,3
22,30204,5,18
22,30204,87,1
22,30204,87,3
22,30205,5,18
22,30206,5,18
22,30206,87,1
22,30206,87,3
22,30207,87,1
22,30207,87,3
22,30208,87,1
22,30209,87,3
22,30300,5,2
22,30300,5,18
22,30300,9,28
22,30300,9,32
22,30300,87,3
22,30301,45,22
22,30302,45,22
22,30400,9,28
22,30400,45,22
22,30400,87,3
22,30401,5,18
22,30402,5,2
22,30402,5,18
22,30500,5,18
22,30500,9,28
22,30500,45,22
22,30500,87,3
22,30600,5,2
22,30600,5,18
22,30600,9,28
22,30600,45,22
22,30601,87,3
22,30602,87,3
22,30603,87,3
22,30700,9,28
22,30700,45,22
22,30700,87,3
22,30800,9,28
22,30800,45,22
22,30800,87,1
22,30800,87,3
22,30900,5,2
22,30900,9,28
22,30900,45,22
22,31000,5,2
22,31000,45,22
22,31100,45,22
22,31100,119,36
22,31200,45,22
22,31200,119,36
22,31300,45,21
22,31300,45,22
22,31300,119,36
22,31400,119,36
22,31500,119,36
22,31600,45,21
22,31600,45,22
22,31600,119,36
22,31700,119,36
22,31800,119,36
22,31900,119,36
22,32000,119,36
22,32100,119,36
22,40100,63,6
22,40100,63,13
22,40100,93,2
22,40100,93,18
22,40100,101,21
22,40102,103,1
22,40102,103,11
22,40102,103,12
22,40103,103,12
22,40104,103,1
22,40104,103,12
22,40200,93,2
22,40200,93,18
22,40200,101,21
22,40201,63,13
22,40201,103,11
22,40201,103,12
22,40202,63,13
22,40202,103,11
22,40202,103,12
22,40300,93,2
22,40300,93,18
22,40300,101,21
22,40301,63,13
22,40303,63,13
22,40303,103,11
22,40304,63,13
22,40304,103,11
22,40305,103,11
22,40400,93,2
22,40400,93,18
22,40400,101,21
22,40400,103,11
