LOUISIANA CONGRESSIONAL DISTRICTS BY CENSUS TRACT,,,
State,Tract,Parish,CongressionalDistrict
22,26300,51,2
22,26400,51,2
22,26500,51,2
22,26600,51,2
22,26700,51,2
22,26800,51,2
22,26900,51,2
22,27000,51,2
22,27100,51,2
22,27200,51,2
22,27501,51,2
22,27502,51,2
22,27601,51,2
22,27602,51,2
22,27701,51,2
22,27703,51,2
22,27803,51,2
22,27804,51,2
22,27805,51,2
22,27806,51,2
22,27807,51,1
22,27807,51,2
22,27809,51,1
22,27809,51,2
22,27810,51,2
22,27811,51,2
22,27812,51,2
22,27901,51,1
22,27902,51,1
22,28000,51,1
22,28000,51,2
22,28100,51,2
22,28200,51,2
22,30100,9,5
22,30100,45,3
22,30101,5,6
22,30102,5,6
22,30103,5,6
22,30103,87,1
22,30104,87,1
22,30105,87,1
22,30200,9,5
22,30200,45,3
22,30203,5,6
22,30203,87,1
22,30204,5,6
22,30204,87,1
22,30205,5,6
22,30206,5,6
22,30206,87,1
22,30207,87,1
22,30208,87,1
22,30209,87,1
22,30300,5,2
22,30300,5,6
22,30300,9,5
22,30300,87,1
22,30301,45,3
22,30302,45,3
22,30400,9,5
22,30400,45,3
22,30400,87,1
22,30401,5,6
22,30402,5,2
22,30402,5,6
22,30500,5,6
22,30500,9,5
22,30500,45,3
22,30500,87,1
22,30600,5,2
22,30600,5,6
22,30600,9,5
22,30600,45,3
22,30601,87,1
22,30602,87,1
22,30603,87,1
22,30700,9,5
22,30700,45,3
22,30700,87,1
22,30800,9,5
22,30800,45,3
22,30800,87,1
22,30900,5,2
22,30900,9,5
22,30900,45,3
22,31000,5,2
22,31000,45,3
22,31100,45,3
22,31100,119,4
22,31200,45,3
22,31200,119,4
22,31300,45,3
22,31300,119,4
22,31400,119,4
22,31500,119,4
22,31600,45,3
22,31600,119,4
22,31700,119,4
22,31800,119,4
22,31900,119,4
22,32000,119,4
22,32100,119,4
22,40100,63,6
22,40100,93,2
22,40100,101,3
22,40102,103,1
22,40103,103,1
22,40104,103,1
22,40200,93,2
22,40200,101,3
22,40201,63,6
22,40201,103,1
22,40202,63,6
22,40202,103,1
22,40300,93,2
22,40300,101,3
22,40301,63,6
22,40303,63,6
22,40303,103,1
22,40304,63,6
22,40304,103,1
22,40305,103,1
22,40400,93,2
22,40400,101,3
22,40400,103,1
22,40401,63,6
22,40402,63,6
22,40500,63,6
22,40500,93,2
22,40500,101,3
22,40501,103,1
22,40502,103,1
22,40600,63,6
22,40600,93,2
22,40600,101,3
22,40601,103,1
22,40602,103,1
22,40604,103,1
22,40605,103,1
22,40700,63,6
22,40700,93,2
22,40700,101,3
22,40701,103,1
22,40704,103,1
22,40705,103,1
22,40706,103,1
22,40708,103,1
22,40709,103,1
22,40710,103,1
22,40800,101,3
22,40801,103,1
22,40802,63,6
22,40802,103,1
22,40803,103,1
22,40804,63,6
22,40805,63,6
22,40806,63,6
22,40900,101,3
22,40900,103,1
22,40901,63,6
22,40902,63,6
22,41000,101,3
22,41002,103,1
22,41003,103,1
22,41004,103,1
22,41100,101,3
22,41101,103,1
22,41102,103,1
22,41103,103,1
22,41104,103,1
22,41200,101,3
22,41202,103,1
22,41204,103,1
22,41207,103,1
22,41208,103,1
22,41209,103,1
22,41210,103,1
22,41211,103,1
22,41212,103,1
22,41300,101,3
22,41300,103,1
22,41400,101,3
22,41500,101,3
22,41600,101,3
22,50100,7,2
22,50100,7,6
22,50100,75,1
22,50200,7,6
22,50200,75,1
22,50300,7,2
22,50300,7,6
22,50300,75,1
22,50400,7,6
22,50400,75,1
22,50500,7,2
22,50500,7,6
22,50500,75,1
22,50600,7,6
22,50600,75,1
22,50700,75,1
22,50800,75,1
22,60100,89,6
22,62100,89,2
22,62100,89,6
22,62200,89,2
22,62200,89,6
22,62301,89,2
22,62301,89,6
22,62302,89,2
22,62302,89,6
22,62400,89,2
22,62400,89,6
22,62500,89,6
22,62700,89,2
22,62800,89,2
22,62900,89,2
22,63000,89,2
22,63100,89,2
22,63200,89,2
22,70100,95,2
22,70100,95,6
22,70200,95,2
22,70200,95,6
22,70300,95,2
22,70300,95,6
22,70400,95,6
22,70500,95,2
22,70500,95,6
22,70600,95,2
22,70700,95,2
22,70800,95,2
22,70900,95,2
22,71000,95,2
22,71000,95,6
22,71100,95,2
22,950100,3,4
22,950100,27,4
22,950100,31,4
22,950100,39,4
22,950100,41,5
22,950100,67,5
22,950100,113,3
22,950100,115,4
22,950101,117,5
22,950102,117,5
22,950200,3,4
22,950200,27,4
22,950200,31,4
22,950200,39,4
22,950200,41,5
22,950200,67,5
22,950200,113,3
22,950200,115,4
22,950200,117,5
22,950300,3,4
22,950300,27,4
22,950300,31,4
22,950300,39,4
22,950300,41,5
22,950300,67,5
22,950300,115,4
22,950300,117,5
22,950400,3,4
22,950400,27,4
22,950400,31,4
22,950400,39,4
22,950400,41,5
22,950400,67,5
22,950400,113,3
22,950400,115,4
22,950400,117,5
22,950500,3,4
22,950500,27,4
22,950500,31,4
22,950500,39,4
22,950500,41,5
22,950500,67,5
22,950500,113,3
22,950500,115,4
22,950500,117,5
22,950600,31,4
22,950600,39,4
22,950600,41,5
22,950600,67,5
22,950600,113,3
22,950600,115,4
22,950600,117,5
22,950700,31,4
22,950700,39,4
22,950700,67,5
22,950700,113,3
22,950700,117,5
22,950701,115,4
22,950702,115,4
22,950703,115,4
22,950704,115,4
22,950800,39,4
22,950800,67,5
22,950800,113,3
22,950800,115,4
22,950800,117,5
22,950900,115,4
22,950900,117,5
22,950901,113,3
22,950902,113,3
22,951000,117,5
22,951001,113,3
22,951002,113,3
22,951100,91,5
22,951100,91,6
22,951100,113,3
22,951200,91,6
22,951300,37,5
22,951400,37,5
22,951400,37,6
22,951501,37,6
22,951502,37,5
22,951502,37,6
22,951600,37,5
22,951600,37,6
22,951701,125,5
22,951702,125,5
22,951800,125,5
22,951900,77,6
22,952000,77,6
22,952100,77,6
22,952200,77,6
22,952300,77,6
22,952400,77,6
22,952600,47,6
22,952700,47,2
22,952700,47,6
22,952900,47,2
22,952900,47,6
22,953000,47,2
22,953000,47,6
22,953101,47,2
22,953101,47,6
22,953102,47,2
22,953102,47,6
22,953200,47,2
22,953200,105,5
22,953300,105,5
22,953400,105,5
22,953500,105,5
22,953600,105,5
22,953700,105,5
22,953800,105,1
22,953800,105,5
22,953900,105,1
22,953900,105,5
22,954001,105,1
22,954001,105,5
22,954002,105,1
