Geographic Identifier,Name of Area,Qualifying Name,Total Population,Total Population,Population Density (Per Sq. Mile),Area (Land),Total Population:,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate (Includes Equivalency),% Population 25 Years and Over: Some College,% Population 25 Years and Over: Bachelor's Degree,% Population 25 Years and Over: Master's Degree,% Population 25 Years and Over: Professional School Degree,% Population 25 Years and Over: Doctorate Degree,% Population 16 Years and Over: in Labor Force,% Population 16 Years and Over: in Labor Force: in Armed Forces,% Population 16 Years and Over: in Labor Force: Civilian,% Population 16 Years and Over: in Labor Force: Civilian: Employed,% Population 16 Years and Over: in Labor Force: Civilian: Unemployed,% Population 16 Years and Over: Not in Labor Force,% Male Population 16 Years and Over: in Labor Force,% Male Population 16 Years and Over: in Labor Force: in Armed Forces,% Male Population 16 Years and Over: in Labor Force: Civilian,% Male Population 16 Years and Over: in Labor Force: Civilian: Employed,% Male Population 16 Years and Over: in Labor Force: Civilian: Unemployed,% Male Population 16 Years and Over: Not in Labor Force,% Female Population 16 Years and Over: in Labor Force,% Female Population 16 Years and Over: in Labor Force: in Armed Forces,% Female Population 16 Years and Over: in Labor Force: Civilian,% Female Population 16 Years and Over: in Labor Force: Civilian: Employed,% Female Population 16 Years and Over: in Labor Force: Civilian: Unemployed,% Female Population 16 Years and Over: Not in Labor Force,"% Households: Less than $10,000","% Households: $10,000 to $14,999","% Households: $15,000 to $19,999","% Households: $20,000 to $24,999","% Households: $25,000 to $29,999","% Households: $30,000 to $34,999","% Households: $35,000 to $39,999","% Households: $40,000 to $44,999","% Households: $45,000 to $49,999","% Households: $50,000 to $59,999","% Households: $60,000 to $74,999","% Households: $75,000 to $99,999","% Households: $100,000 to $124,999","% Households: $125,000 to $149,999","% Households: $150,000 to $199,999","% Households: $200,000 or More",Median Family Income (In 2016 Inflation Adjusted Dollars)
05000US22041,"Franklin Parish, Louisiana","Franklin Parish, Louisiana",20464,20464,32.76415,624.585022,20464,195,65.84,33.12,0.03,0.05,0,0,0.95,25.9,40.28,21.93,8.02,3.45,0.21,0.21,50.1,0,50.1,45.04,5.06,49.9,52.83,0,52.83,45.96,6.87,47.17,47.57,0,47.57,44.18,3.39,52.43,11.26,15.4,9.69,6.13,5.9,6.08,3.4,4.28,2.86,8.35,6.69,7.94,6.16,2.34,2.02,1.49,44839
05000US22043,"Grant Parish, Louisiana","Grant Parish, Louisiana",22372,22372,34.79175,643.0260526,22372,615,79.95,14.33,1.24,0.24,0,1.48,2.75,19.02,42.92,28.73,6.54,2.19,0.32,0.29,43.03,0.01,43.01,39.42,3.6,56.97,39.14,0.02,39.12,34.66,4.46,60.86,48.19,0,48.19,45.74,2.45,51.81,12.35,6.66,5.24,6.44,5.37,8.25,5.05,6.09,3.5,7.32,11.19,9.66,5.92,4.28,1.33,1.36,52711
05000US22045,"Iberia Parish, Louisiana","Iberia Parish, Louisiana",73799,73799,128.5448,574.1111758,73799,2111,61.88,31.23,0.09,2.79,0,1.16,2.86,22.21,41.28,22.77,9.67,2.71,0.77,0.59,61.78,0.01,61.77,54.87,6.9,38.22,68.19,0.03,68.17,61,7.17,31.81,55.75,0,55.75,49.1,6.65,44.25,9.26,5.95,8.08,5.22,5.34,5.66,5.13,5.72,4.95,8.12,7.94,10.78,7.65,3.96,3.09,3.14,51001
05000US22047,"Iberville Parish, Louisiana","Iberville Parish, Louisiana",33159,33159,53.60072,618.6297326,33159,196,49.31,49.15,0.2,0.05,0,0.69,0.59,22.56,39.74,24.31,9.2,3.05,0.49,0.65,52.75,0.23,52.53,48.75,3.77,47.25,53.89,0.44,53.45,48.39,5.06,46.11,51.61,0.01,51.6,49.12,2.48,48.39,10.89,7.37,6.29,6.37,4.97,3.41,5.21,4.43,3.24,8.99,10.83,9.55,7.68,3.93,4.92,1.9,55643
05000US22049,"Jackson Parish, Louisiana","Jackson Parish, Louisiana",15999,15999,28.10835,569.1902202,15999,50,67.95,30.23,0.03,0.45,0,1.03,0.31,19.96,43.28,23.11,8.81,3.35,0.85,0.63,46.33,0,46.33,43.74,2.59,53.67,44.43,0,44.43,42.23,2.19,55.57,48.27,0,48.27,45.28,2.99,51.73,12.24,9.39,7.22,7.06,6.49,5.16,3.62,6,4,7.96,6.77,10.76,6.86,3.16,2.64,0.68,47813
05000US22051,"Jefferson Parish, Louisiana","Jefferson Parish, Louisiana",435204,435204,1472.116,295.6315288,435204,8628,63.77,26.52,0.4,4.17,0.03,3.11,1.98,15.31,31.13,28.74,16.66,5.19,2.07,0.89,64.19,0.17,64.02,59.93,4.09,35.81,70.29,0.27,70.02,65.47,4.55,29.71,58.55,0.08,58.47,54.81,3.66,41.45,7.43,5.74,5.89,5.6,5.59,5.89,4.95,4.92,4.46,7.68,9.85,11.61,7.77,4.31,4.27,4.02,62794
05000US22053,"Jefferson Davis Parish, Louisiana","Jefferson Davis Parish, Louisiana",31399,31399,48.20498,651.3641793,31399,656,80.23,16.49,0.68,0.34,0,0.17,2.09,20.98,41.27,23.2,9.3,4.35,0.76,0.14,57.63,0.06,57.58,52.66,4.91,42.37,63.53,0.12,63.41,58.55,4.86,36.47,52.26,0,52.26,47.3,4.96,47.74,12.06,7.05,7.65,7.93,5.84,4.81,5.5,2.87,4.51,7.27,5.63,10.35,8.66,3.88,2.8,3.19,54384
05000US22055,"Lafayette Parish, Louisiana","Lafayette Parish, Louisiana",234963,234963,874.2985,268.7445841,234963,4847,69.97,25.53,0.19,1.61,0,0.64,2.06,13.64,28.24,27.24,21.56,6.4,1.79,1.13,67.77,0.13,67.64,64.16,3.48,32.23,74.03,0.22,73.82,69.82,4,25.97,61.91,0.05,61.87,58.88,2.99,38.09,8.44,5.62,5.48,5.79,4.74,4.79,4.03,4.82,3.59,7.19,8.98,11.64,8.23,5.37,5.42,5.87,68909
05000US22057,"Lafourche Parish, Louisiana","Lafourche Parish, Louisiana",97688,97688,91.44019,1068.326754,97688,2354,79.51,13.28,2.2,0.82,0.03,1.75,2.41,24.69,39.28,19.87,11.2,3.42,0.77,0.77,60.89,0.09,60.8,56.35,4.45,39.11,69.39,0.19,69.2,64.32,4.88,30.61,52.82,0,52.82,48.78,4.03,47.18,7.16,6.5,5.49,6.25,5.38,5.31,4.3,4.22,3.54,8.03,10.28,12.87,8.21,4.59,4.87,2.99,60915
05000US22059,"LaSalle Parish, Louisiana","LaSalle Parish, Louisiana",14927,14927,23.89527,624.684309,14927,123,85.61,12.35,0.99,0.01,0.08,0.13,0.82,24.24,42.8,21.92,7.9,2.54,0.33,0.28,45.63,0,45.63,43.25,2.38,54.37,48.45,0,48.45,45.17,3.29,51.55,42.39,0,42.39,41.05,1.33,57.61,11.73,9.14,8.97,8.1,3.76,7.65,6,4.76,4.89,5.56,6,10.9,3.4,4.04,3.14,1.97,42404
05000US22061,"Lincoln Parish, Louisiana","Lincoln Parish, Louisiana",47480,47480,100.6482,471.7419849,47480,780,53.97,40.81,0.14,1.78,0,1.66,1.64,12.52,27.55,24.57,20.36,10.38,1.56,3.06,59.99,0.07,59.92,53.68,6.24,40.01,64.04,0.14,63.9,56.07,7.84,35.96,56.19,0,56.19,51.44,4.75,43.81,17.18,6.61,7.33,8.51,6.03,4.64,3.55,3.67,3.19,6.16,8.19,8.34,6.49,3,3.56,3.55,53791
05000US22063,"Livingston Parish, Louisiana","Livingston Parish, Louisiana",135925,135925,209.706,648.1693043,135925,1895,90.96,5.98,0.3,0.46,0.01,0.91,1.39,16.09,40.22,26.29,12.82,3.44,0.61,0.53,63.38,0.06,63.31,59.38,3.93,36.62,69.89,0.1,69.79,65.24,4.55,30.11,57.25,0.03,57.22,53.87,3.35,42.75,6.91,4.36,5.41,3.98,5.46,4.15,4.13,4.87,3.9,8.27,11.08,13.01,9.99,6.35,5.44,2.69,67395
05000US22065,"Madison Parish, Louisiana","Madison Parish, Louisiana",11803,11803,18.90185,624.4362646,11803,85,35.96,63.08,0.08,0,0,0.17,0.72,25.55,40.37,22.06,7.43,3.64,0.5,0.45,48.59,0,48.59,41.76,6.83,51.41,47.03,0,47.03,39.77,7.25,52.97,50.13,0,50.13,43.72,6.41,49.87,18.9,16.42,7.35,6.67,5.86,6.52,4.44,3.06,5.07,4.22,6.42,7.7,2.43,3.5,0.98,0.47,34167
05000US22067,"Morehouse Parish, Louisiana","Morehouse Parish, Louisiana",26739,26739,33.63675,794.9342406,26739,190,50.14,48.17,0.08,0.34,0,0.55,0.71,19.73,44.25,22.37,10.27,1.88,1.06,0.45,50.99,0.07,50.92,46.81,4.11,49.01,52.89,0.15,52.74,46.91,5.83,47.11,49.27,0,49.27,46.72,2.55,50.73,15.26,10.27,8.53,8.61,6.88,7.85,5.3,2.5,4.94,7.89,6,7.5,4.12,1.03,2.01,1.33,37155
05000US22069,"Natchitoches Parish, Louisiana","Natchitoches Parish, Louisiana",39258,39258,31.34969,1252.261036,39258,828,54.53,40.44,1.27,0.64,0,1.01,2.11,16.52,32.94,31.8,11.11,5.74,0.84,1.06,50.45,0.04,50.41,44.29,6.11,49.55,52.86,0.07,52.79,46.73,6.06,47.14,48.37,0.01,48.36,42.2,6.16,51.63,19.47,9.38,7.95,6.08,6.28,5.42,4.51,4.4,3.71,4.8,7.37,7.34,5.38,2.7,3.04,2.17,46933
05000US22071,"Orleans Parish, Louisiana","Orleans Parish, Louisiana",382922,382922,2260.174,169.4214491,382922,6232,34.03,59.84,0.2,2.93,0.03,1.34,1.63,14.33,22.94,26.55,20.71,9.2,4.24,2.03,62.15,0.28,61.87,55.82,6.05,37.85,64.93,0.52,64.42,58.24,6.18,35.07,59.67,0.06,59.61,53.67,5.93,40.33,15.59,7.95,6.95,6.18,5.76,4.97,4.54,4.28,3.73,6.21,7.32,8.62,5.6,3.42,3.67,5.21,51289
05000US22073,"Ouachita Parish, Louisiana","Ouachita Parish, Louisiana",156398,156398,256.2198,610.405571,156398,1217,60,37.52,0.27,0.95,0.01,0.47,0.78,14.97,33.46,27.39,15.75,6.39,1.31,0.73,57.77,0.03,57.74,53.21,4.53,42.23,59.07,0.03,59.04,54.49,4.56,40.93,56.62,0.03,56.59,52.08,4.51,43.38,12.41,8.42,6.51,7.3,5.41,5.98,4.79,4.84,3.65,6.8,8.19,9.66,5.87,4.03,2.72,3.43,51112
05000US22075,"Plaquemines Parish, Louisiana","Plaquemines Parish, Louisiana",23584,23584,30.22295,780.3341174,23584,688,69.48,20.72,1.09,3.58,0,2.22,2.92,19.55,38.04,26.6,11.12,3.79,0.58,0.32,61,3.73,57.27,55.04,2.23,39,71.11,6.44,64.68,62,2.67,28.89,51.26,1.12,50.14,48.34,1.8,48.74,9.28,6.19,3.69,6.89,4.72,6.65,4.12,3.82,4.42,9.42,9.88,9.89,7.24,4.16,6.35,3.27,60823
05000US22077,"Pointe Coupee Parish, Louisiana","Pointe Coupee Parish, Louisiana",22366,22366,40.12946,557.3461622,22366,325,62.27,35.21,0.24,0.12,0,0.72,1.45,20.02,41.2,24.83,9.63,3.08,1.04,0.18,56.5,0,56.5,51.55,4.95,43.5,62.59,0,62.59,56.43,6.16,37.41,50.93,0,50.93,47.09,3.84,49.07,10.62,5.6,7.77,7.18,5.4,5.43,3.64,5.1,4.58,6.82,9.25,11.76,6.48,3.73,3.57,3.09,55487
